불량일자,라인,제품코드,제품명,불량유형,불량수량,불량중량_kg,원인,조치사항,처리구분,검사자,LOT번호,비고
2026-01-02,DUBAI,DCK-C,두바이코코아,성형불량,6,0.6,작업 속도 과다 (물량 맞추기 급함),작업 속도 조절 (숙련자 배치),폐기,김품질,L260102-01,
2026-01-02,DUBAI,DCK-C,두바이코코아,외관불량,4,0.4,초콜릿 블룸 (습도),코팅실 제습 및 냉각 온도 재설정,폐기,최검사,L260102-02,
2026-01-02,DUBAI,DCK-C,두바이코코아,필링불량,3,0.3,필링 온도 부적절,필링 보온 온도 재설정,등급변경,박검사,L260102-03,
2026-01-02,DUBAI,DCK-C,두바이코코아,중량미달,2,0.2,카다이프 투입량 부족,원료 계량 강화,등급변경,최검사,L260102-04,
2026-01-02,DUBAI,DCK-C,두바이코코아,원료이물,1,0.1,원재료 이물 혼입,해당LOT 격리 및 수입검사 강화,등급변경,김품질,L260102-05,
2026-01-02,DUBAI,DCK-C,두바이코코아,포장불량,1,0.1,실링 불량,실링기 점검,등급변경,김품질,L260102-06,
2026-01-02,DUBAI,DCK-M,두바이말차,성형불량,5,0.5,카다이프 꼬임 불균일,카다이프 해동 시간 재설정,재작업,박검사,L260102-07,
2026-01-02,DUBAI,DCK-M,두바이말차,외관불량,3,0.3,표면 크랙,냉각 속도 조정,등급변경,김품질,L260102-08,
2026-01-02,DUBAI,DCK-M,두바이말차,필링불량,2,0.2,필링 계량 오차,계량기 재보정,폐기,이검사,L260102-09,
2026-01-02,DUBAI,DCK-M,두바이말차,중량미달,1,0.1,필링 부족,필링 투입량 재설정,등급변경,최검사,L260102-10,
2026-01-02,DUBAI,DCK-M,두바이말차,원료이물,1,0.1,원재료 이물 혼입,해당LOT 격리 및 수입검사 강화,등급변경,김품질,L260102-11,
2026-01-02,DUBAI,DCK-M,두바이말차,포장불량,1,0.1,실링 불량,실링기 점검,폐기,박검사,L260102-12,
2026-01-02,ITALY,ICK-D,이태리다크,성형불량,2,0.2,반죽 온도 부적절 (마시멜로 과열),마시멜로 녹이기 온도 재조정,재작업,김품질,L260102-13,
2026-01-02,ITALY,ICK-D,이태리다크,외관불량,2,0.2,코팅 두께 불균일,코팅 도구 세척 및 재템퍼링,등급변경,최검사,L260102-14,
2026-01-02,ITALY,ICK-D,이태리다크,필링불량,1,0.1,필링 온도 부적절,필링 보온 온도 재설정,폐기,박검사,L260102-15,
2026-01-02,ITALY,ICK-D,이태리다크,중량미달,1,0.1,필링 부족,필링 투입량 재설정,폐기,최검사,L260102-16,
2026-01-02,ITALY,ICK-O,이태리오리지널,성형불량,4,0.4,성형 틀 마모,성형 틀 교체,재작업,김품질,L260102-17,
2026-01-02,ITALY,ICK-O,이태리오리지널,외관불량,2,0.2,초콜릿 표면 백화현상 (온도변화),템퍼링 온도 ±1도 관리 및 코팅실 항온,폐기,최검사,L260102-18,
2026-01-02,ITALY,ICK-O,이태리오리지널,필링불량,1,0.1,마시멜로 점성 과다,에어컨 가동 및 충전속도 조절,폐기,박검사,L260102-19,
2026-01-02,ITALY,ICK-O,이태리오리지널,중량미달,1,0.1,카다이프 투입량 부족,원료 계량 강화,재작업,이검사,L260102-20,
2026-01-03,DUBAI,DCK-C,두바이코코아,성형불량,10,1.1,작업 속도 과다 (물량 맞추기 급함),작업 속도 조절 (숙련자 배치),등급변경,이검사,L260103-01,
2026-01-03,DUBAI,DCK-C,두바이코코아,외관불량,6,0.6,초콜릿 템퍼링 실패,템퍼링 온도 ±1도 관리,재작업,김품질,L260103-02,
2026-01-03,DUBAI,DCK-C,두바이코코아,필링불량,4,0.4,마시멜로 점성 과다,에어컨 가동 및 충전속도 조절,등급변경,이검사,L260103-03,
2026-01-03,DUBAI,DCK-C,두바이코코아,중량미달,2,0.2,반죽 분할 오차,분할기 재보정,폐기,김품질,L260103-04,
2026-01-03,DUBAI,DCK-C,두바이코코아,원료이물,1,0.1,견과류 껍질 혼입,원료 선별 강화,등급변경,박검사,L260103-05,
